source,target
National Priority Gender Equality Indicator code,
National Development Plan,"Objective 2:
Increase
the stock
and quality
of strategic
infrastructure
to accelerate
the country’s
competitiveness"
National SDG indicator framework,partnerships for the goals
National Development Plan,"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth"
National SDG indicator framework,reduced inequality
National SDG indicator framework,peace justice and strong institutions
National SDG indicator framework,quality education
National SDG indicator framework,decent work and economic growth
National SDG indicator framework,gender equality
National SDG indicator framework,industry innovation and infrastructure
National SDG indicator framework,affordable and clean energy
National Development Plan,"Objective1:
To sustainably
increase
production,
productivity
and value
addition in
key growth
opportunities"
National SDG indicator framework,sustainable cities and communities
World development indicators,
National SDG indicator framework,clean water and sanitation
Uganda statistical metadata dictionary,
National Development Plan,
National SDG indicator framework,no poverty
National SDG indicator framework,responsible consumption and production
National SDG indicator framework,good heath and well-being
National SDG indicator framework,zero hunger
National Development Plan,"Objective 3:
To enhance
Human
Capital
Development"
National SDG indicator framework,life on land
National SDG indicator framework,climate action
National SDG indicator framework,life below water
National Development Plan,"Objective4:
To strengthen
mechanisms
for quality,
effective
and efficient
service
delivery"
, Average household income by sex of head (UGX.) 
, Average wage earnings in formal employment by sex
, Average wage earnings in informal employment by sex.
, Household expenditure by sex of head (UGX.)
, Income per capita by sex 
, Literacy rate by sex.
," Proportion of households with access to mass media (radio, TV, internet) by sex of household head"
, Proportion of individuals using mobile phones by sex.
, Proportion of individuals using the internet by sex.
, Proportion of individuals who own mobile phones individually by sex.
, Proportion of individuals who own mobile phones jointly by sex.
, Proportion of the population owning land jointly by sex of owner.
, Proportion of the population with access to financial services by sex.
, Proportion of young people (NEET - Neither in Employment nor in Education Training) by sex. 
"Objective 2:
Increase
the stock
and quality
of strategic
infrastructure
to accelerate
the country’s
competitiveness",% population with access toelectricity
partnerships for the goals,Debt service as a proportion of exports of goods and services
partnerships for the goals,Developing countries’ and least developed countries’ share of global exports
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Ease of doingbusiness ranking
reduced inequality,Financial Soundness Indicators
partnerships for the goals,"Fixed Internet broadband subscriptions per 100 inhabitants, by speed"
reduced inequality,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Improve in incomedistribution (GINI Coefficient)
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Increase in export proportion of GDP
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Increase in ratio of manufactured exports tototal exports
peace justice and strong institutions,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information"
quality education,"Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated"
quality education,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex"
decent work and economic growth,Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider
peace justice and strong institutions,"Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months"
gender equality,Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control
partnerships for the goals,Proportion of individuals using the Internet
reduced inequality,"Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
industry innovation and infrastructure,"Proportion of population covered by a mobile network, by technology"
quality education,"Proportion of population in a given age group achieving at least a fixed level of proficiency in functional (a) literacy and (b) numeracy skills, by sex"
affordable and clean energy,Proportion of population with access to electricity
,Proportion of the agricultural population owning agricultural land by sex of owner.
,Proportion of the population owning land individually by sex of owner.
decent work and economic growth,"Proportion of youth (aged 15-24 years) not in education, employment or training"
quality education,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill"
"Objective1:
To sustainably
increase
production,
productivity
and value
addition in
key growth
opportunities",Ratio of manufactured exportsto total exports
reduced inequality,Recruitment cost borne by employee as a proportion of yearly income earned in country of destination
reduced inequality,Remittance costs as a proportion of the amount remitted
industry innovation and infrastructure,Research and development expenditure as a proportion of GDP
peace justice and strong institutions,Total value of inward and outward illicit financial flows (in current United States dollars)
"Objective 2:
Increase
the stock
and quality
of strategic
infrastructure
to accelerate
the country’s
competitiveness",Unit cost of power(USD Cents)
sustainable cities and communities,"Total expenditure (public and private) per capita spent on the preservation, protection and conservation of all cultural and natural heritage, by type of heritage (cultural, natural, mixed and World Heritage Centre designation), level of government (national, regional and local/municipal), type of expenditure (operating expenditure/investment) and type of private funding (donations in kind, private non-profit sector and sponsorship)"
partnerships for the goals,Proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 per cent birth registration and 80 per cent death registration
, Managerial positions in the formal sector by sex.
decent work and economic growth,"(a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
,Access to electricity (% of population)
,"Access to electricity, rural (% of rural population)"
,"Access to electricity, urban (% of urban population)"
,Account at a financial institution (% age 15+)
,Adjusted net national income (annual % growth)
,Adjusted savings: consumption of fixed capital (% of GNI)
clean water and sanitation,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan
,"Automated teller machines (ATMs) (per 100,000 adults)"
decent work and economic growth,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities"
,Average size per production system
,Bank liquid reserves to bank assets ratio (%)
,"Broad money
(M2)"
,"Broad Money
(M3)"
,Business extent of disclosure index (0=less disclosure to 10=more disclosure)
clean water and sanitation,Change in the extent of water-related ecosystems over time
clean water and sanitation,Change in water-use efficiency over time
,Changes in inventories (constant LCU)
,Changes in inventories (current LCU)
,Changes in inventories (current US$)
,"Children in employment, self-employed (% of children in employment, ages 7-14)"
,"Children in employment, wage workers (% of children in employment, ages 7-14)"
,CPIA business regulatory environment rating (1=low to 6=high)
,CPIA efficiency of revenue mobilization rating (1=low to 6=high)
,CPIA financial sector rating (1=low to 6=high)
,CPIA structural policies cluster average (1=low to 6=high)
clean water and sanitation,Degree of integrated water resources management implementation (0-100)
,Deposit interest rate (%)
,Electricity coverage
,Electricity production from hydroelectric sources (% of total)
,Electricity production from natural gas sources (% of total)
,Electricity production from nuclear sources (% of total)
,Electricity production from oil sources (% of total)
,Firms formally registered when operations started (% of firms)
,Firms using banks to finance investment (% of firms)
,Firms using banks to finance working capital (% of firms)
,Fixed telephone subscriptions
partnerships for the goals,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget"
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Global Competitiveranking
,Gross Fixed Capital Formation by economic sector
,"Gross fixed capital formation, private sector (% of GDP)"
,"Human Skills
Index"
,"ICT service exports (% of service exports, BoP)"
"Objective1:
To sustainably
increase
production,
productivity
and value
addition in
key growth
opportunities",Import duty and other taxesreduced by x % for 3 years for newinvestments
,Inactivity rate
,Increase in % of mobile linesubscriptions
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Increase in labour force in industrial sector.
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Increase in labour force in service sector.
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",Increase in total employment.
,Increase inProportionof electricityconsumed byindustrial andcommercialsector
,Increased Proportion offunctional railway network
,Increased Ratio of nationalbudget allocated STI (R&D) andICT
,Individuals using the Internet (% of population)
,International Outgoing mobile telephone traffic
,Internet penetration
affordable and clean energy,Investments in energy efficiency as a proportion of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services
,Labour cost index
,Labour force participation rate
reduced inequality,"Labour share of GDP, comprising wages and social protection transfers"
,Literacy rate
,"Literacy rate, adult female (% of females ages 15 and above)"
,Mobile cellular telephone subscriptions (post-paid + prepaid)
,"Net financial
worth"
,Net lending as a percentage  of GDP
,Net Lending/ Repayments
,"Net lending/
borrowing"
,"New business density (new registrations per 1,000 people ages 15-64)"
gender equality,"Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education"
,Number of Domestic EMS(Emergency Mail Services)
,Number of Domestic Registered mail
,Number of estimated Internet users
,Number of fixed internet subscribers
,Number of Fixed telephone lines
,Number of land transactions registered
,Number of mobile internet subscribers
,Number of Ordinary Letter Posts
,Number of units connected to the electricity grid
,"Off net
Telephone traffic
(minutes)"
,On net mobile telephone traffic (minutes)
,Other taxes payable by businesses (% of commercial profits)
industry innovation and infrastructure,"Passenger and freight volumes, by mode of transport"
,Percentage of land surveyed and registered
,Private sector credit (annual growth)
,Private sector credit as a percentage of GDP
,Procedures to register property (number)
,Profit tax (% of commercial profits)
,Proportion of businesses usingthe internet(%)
partnerships for the goals,Proportion of domestic budget funded by domestic taxes
,Proportion of holdings with access to credit
gender equality,"Proportion of individuals who own a mobile telephone, by sex"
,"Proportion of own-account
and contributing family workers in total employment"
"Objective 2:
Increase
the stock
and quality
of strategic
infrastructure
to accelerate
the country’s
competitiveness",Proportion of paved to thenational road network (%)
no poverty,"Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)"
sustainable cities and communities,"Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities"
industry innovation and infrastructure,Proportion of small-scale industries with a loan or line of credit
,Proportion of the population owning land
,Proportion of the urban population with secure land tenure.
gender equality,"Proportion of time spent on unpaid domestic and care work, by sex, age and location"
no poverty,"Proportion of total adult population with secure tenure rights to land, with legally recognized documentation and who perceive their rights to land as secure, by sex and by type of tenure"
no poverty,"Proportion of total government spending on essential services (education, health and social protection)"
clean water and sanitation,Proportion of transboundary basin area with an operational arrangement for water cooperation
gender equality,Proportion of women in managerial positions
,Rental Income tax
,"Revenue, excluding grants (% of GDP)"
,Secure Internet servers
,Tax payments (number)
,"Taxable and
Non-tax revenue generated from land transactions"
,Time required to register property (days)
,Time required to start a business (days)
,Time taken to register a transaction
,Total electricity consumed
,Total Electricity generated
,Total Number of business establishments by economic sector
"Objective 2:
Increase
the stock
and quality
of strategic
infrastructure
to accelerate
the country’s
competitiveness",Total paved national roadnetwork (km)
,Unemployment rate
decent work and economic growth,"Unemployment rate, by sex, age and persons with disabilities"
,"Vulnerable employment, female (% of female employment)"
,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)"
