name,xPos,xposName,Match type,access,latest,owner,statisticalSector,questionnaire,geographicCoverage,sampleSize,disaggregationAge,disaggregationLocation,sourceType,url
National Priority Gender Equality Indicator code,0,Indicator Framework,,,,,,,,,,,,
National Development Plan,0,Indicator Framework,,,,,,,,,,,,
National SDG indicator framework,0,Indicator Framework,,,,,,,,,,,,
World development indicators,0,Indicator Framework,,,,,,,,,,,,
Uganda statistical metadata dictionary,0,Indicator Framework,,,,,,,,,,,,
"Objective 2:
Increase
the stock
and quality
of strategic
infrastructure
to accelerate
the country’s
competitiveness",1,Goal,,,,,,,,,,,,
partnerships for the goals,1,Goal,,,,,,,,,,,,
"To achieve middle income status by 2020 through strengthening the country’s competitiveness for sustainable wealth creation, employment and inclusive growth",1,Goal,,,,,,,,,,,,
reduced inequality,1,Goal,,,,,,,,,,,,
peace justice and strong institutions,1,Goal,,,,,,,,,,,,
quality education,1,Goal,,,,,,,,,,,,
decent work and economic growth,1,Goal,,,,,,,,,,,,
gender equality,1,Goal,,,,,,,,,,,,
industry innovation and infrastructure,1,Goal,,,,,,,,,,,,
affordable and clean energy,1,Goal,,,,,,,,,,,,
"Objective1:
To sustainably
increase
production,
productivity
and value
addition in
key growth
opportunities",1,Goal,,,,,,,,,,,,
sustainable cities and communities,1,Goal,,,,,,,,,,,,
clean water and sanitation,1,Goal,,,,,,,,,,,,
no poverty,1,Goal,,,,,,,,,,,,
responsible consumption and production,1,Goal,,,,,,,,,,,,
good heath and well-being,1,Goal,,,,,,,,,,,,
zero hunger,1,Goal,,,,,,,,,,,,
"Objective 3:
To enhance
Human
Capital
Development",1,Goal,,,,,,,,,,,,
life on land,1,Goal,,,,,,,,,,,,
climate action,1,Goal,,,,,,,,,,,,
life below water,1,Goal,,,,,,,,,,,,
"Objective4:
To strengthen
mechanisms
for quality,
effective
and efficient
service
delivery",1,Goal,,,,,,,,,,,,
 Average household income by sex of head (UGX.) ,2,Indicator,,,,,,,,,,,,
 Average wage earnings in formal employment by sex,2,Indicator,,,,,,,,,,,,
 Average wage earnings in informal employment by sex.,2,Indicator,,,,,,,,,,,,
 Household expenditure by sex of head (UGX.),2,Indicator,,,,,,,,,,,,
 Income per capita by sex ,2,Indicator,,,,,,,,,,,,
 Literacy rate by sex.,2,Indicator,,,,,,,,,,,,
" Proportion of households with access to mass media (radio, TV, internet) by sex of household head",2,Indicator,,,,,,,,,,,,
 Proportion of individuals using mobile phones by sex.,2,Indicator,,,,,,,,,,,,
 Proportion of individuals using the internet by sex.,2,Indicator,,,,,,,,,,,,
 Proportion of individuals who own mobile phones individually by sex.,2,Indicator,,,,,,,,,,,,
 Proportion of individuals who own mobile phones jointly by sex.,2,Indicator,,,,,,,,,,,,
 Proportion of the population owning land jointly by sex of owner.,2,Indicator,,,,,,,,,,,,
 Proportion of the population with access to financial services by sex.,2,Indicator,,,,,,,,,,,,
 Proportion of young people (NEET - Neither in Employment nor in Education Training) by sex. ,2,Indicator,,,,,,,,,,,,
% population with access toelectricity,2,Indicator,,,,,,,,,,,,
Debt service as a proportion of exports of goods and services,2,Indicator,,,,,,,,,,,,
Developing countries’ and least developed countries’ share of global exports,2,Indicator,,,,,,,,,,,,
Ease of doingbusiness ranking,2,Indicator,,,,,,,,,,,,
Financial Soundness Indicators,2,Indicator,,,,,,,,,,,,
"Fixed Internet broadband subscriptions per 100 inhabitants, by speed",2,Indicator,,,,,,,,,,,,
Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,2,Indicator,,,,,,,,,,,,
